
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        0
-1.55680 0.88377 0.00000 
-1.55349 0.89579 0.00000 
-1.55012 0.90782 0.00000 
-1.54672 0.91984 0.00000 
-1.54545 0.92424 0.00000 
-1.54306 0.93186 0.00000 
-1.53923 0.94389 0.00000 
-1.53535 0.95591 0.00000 
-1.53142 0.96794 0.00000 
-1.52744 0.97996 0.00000 
-1.52341 0.99198 0.00000 
-1.51934 1.00401 0.00000 
-1.51521 1.01603 0.00000 
-1.51104 1.02806 0.00000 
-1.50681 1.04008 0.00000 
-1.50254 1.05210 0.00000 
-1.49822 1.06413 0.00000 
-1.49385 1.07615 0.00000 
-1.48943 1.08818 0.00000 
-1.48496 1.10020 0.00000 
-1.48485 1.10049 0.00000 
-1.48000 1.11222 0.00000 
-1.47497 1.12425 0.00000 
-1.46989 1.13627 0.00000 
-1.46475 1.14830 0.00000 
-1.45956 1.16032 0.00000 
-1.45431 1.17234 0.00000 
-1.44902 1.18437 0.00000 
-1.44366 1.19639 0.00000 
-1.43826 1.20842 0.00000 
-1.43279 1.22044 0.00000 
-1.42728 1.23246 0.00000 
-1.42424 1.23902 0.00000 
-1.42144 1.24449 0.00000 
-1.41521 1.25651 0.00000 
-1.40893 1.26854 0.00000 
-1.40258 1.28056 0.00000 
-1.39618 1.29259 0.00000 
-1.38971 1.30461 0.00000 
-1.38319 1.31663 0.00000 
-1.37660 1.32866 0.00000 
-1.36996 1.34068 0.00000 
-1.36364 1.35201 0.00000 
-1.36321 1.35271 0.00000 
-1.35567 1.36473 0.00000 
-1.34806 1.37675 0.00000 
-1.34039 1.38878 0.00000 
-1.33265 1.40080 0.00000 
-1.32485 1.41283 0.00000 
-1.31697 1.42485 0.00000 
-1.30903 1.43687 0.00000 
-1.30303 1.44589 0.00000 
-1.30078 1.44890 0.00000 
-1.29172 1.46092 0.00000 
-1.28258 1.47295 0.00000 
-1.27337 1.48497 0.00000 
-1.26408 1.49699 0.00000 
-1.25472 1.50902 0.00000 
